7	9	1
14	9	1
26	9	1
33	9	1
43	9	1
52	9	1
60	9	1
69	9	1
79	9	1
88	9	1
95	9	1
106	9	1
116	9	1
123	9	1
133	9	1
142	9	1
150	9	1
159	9	1
169	9	1
178	9	1
186	9	1
196	9	1
204	9	1
213	9	1
223	9	1
232	9	1
240	9	1
251	9	1
257	9	1
268	9	1
297	9	1
306	9	1
314	9	1
324	9	1
331	9	1
342	9	1
350	9	1
361	9	1
367	9	1
378	9	1
387	9	1
394	9	1
406	9	1
413	9	1
423	9	1
432	9	1
439	9	1
451	9	1
457	9	1
468	9	1
475	9	1
486	9	1
494	9	1
504	9	1
513	9	1
520	9	1
531	9	1
539	9	1
549	9	1
558	9	1
586	9	1
596	9	1
603	9	1
614	9	1
621	9	1
632	9	1
641	9	1
649	9	1
659	9	1
666	9	1
677	9	1
685	9	1
694	9	1
704	9	1
711	9	1
722	9	1
731	9	1
739	9	1
747	9	1
758	9	1
766	9	1
776	9	1
785	9	1
792	9	1
803	9	1
810	9	1
821	9	1
828	9	1
839	9	1
847	9	1
