7	8	1
16	8	1
24	8	1
33	8	1
42	8	1
51	8	1
60	8	1
70	8	1
79	8	1
87	8	1
96	8	1
105	8	1
113	8	1
124	8	1
133	8	1
141	8	1
151	8	1
159	8	1
168	8	1
178	8	1
187	8	1
196	8	1
204	8	1
213	8	1
222	8	1
231	8	1
240	8	1
250	8	1
259	8	1
267	8	1
297	8	1
305	8	1
314	8	1
324	8	1
333	8	1
342	8	1
350	8	1
359	8	1
368	8	1
377	8	1
387	8	1
396	8	1
404	8	1
414	8	1
422	8	1
432	8	1
440	8	1
449	8	1
458	8	1
467	8	1
477	8	1
486	8	1
494	8	1
504	8	1
512	8	1
522	8	1
530	8	1
539	8	1
548	8	1
557	8	1
587	8	1
596	8	1
604	8	1
613	8	1
622	8	1
631	8	1
640	8	1
650	8	1
659	8	1
667	8	1
676	8	1
685	8	1
694	8	1
704	8	1
713	8	1
721	8	1
731	8	1
739	8	1
748	8	1
758	8	1
766	8	1
775	8	1
783	8	1
794	8	1
803	8	1
811	8	1
821	8	1
829	8	1
838	8	1
848	8	1
